source_packet,target_packet,edge_type,shared_term,spoiler_relation,reason
P517,P442,FALSE_EXIT_VARIANT,TERM_58,None,Logical connection
P501,P542,PUBLIC_SITE_REUSES,TERM_0,None,Logical connection
P496,P551,PUBLIC_SITE_REUSES,TERM_39,None,Logical connection
P509,P542,FALSE_EXIT_VARIANT,TERM_8,None,Logical connection
P559,P506,SCANNER_TO_CODEX,TERM_1,None,Logical connection
P478,P530,FALSE_EXIT_VARIANT,TERM_84,None,Logical connection
P495,P512,TERMINOLOGY_SHARED,TERM_62,None,Logical connection
P490,P523,PUBLIC_SITE_REUSES,TERM_90,None,Logical connection
P526,P452,CONTRADICTS,TERM_66,None,Logical connection
P441,P447,CONTRADICTS,TERM_29,None,Logical connection
P557,P522,FALSE_EXIT_VARIANT,TERM_78,None,Logical connection
P489,P492,FALSE_EXIT_VARIANT,TERM_63,None,Logical connection
P528,P464,FALSE_EXIT_VARIANT,TERM_28,None,Logical connection
P515,P480,CONTRADICTS,TERM_31,None,Logical connection
P555,P519,EVIDENCE_PRECEDES,TERM_37,None,Logical connection
P472,P485,CONTRADICTS,TERM_96,None,Logical connection
P513,P553,PUBLIC_SITE_REUSES,TERM_51,None,Logical connection
P511,P543,UNLOCKS_CONTEXT,TERM_34,None,Logical connection
P502,P518,SCANNER_TO_CODEX,TERM_68,None,Logical connection
P551,P556,EVIDENCE_PRECEDES,TERM_78,None,Logical connection
P447,P496,SCANNER_TO_CODEX,TERM_45,None,Logical connection
P505,P529,FALSE_EXIT_VARIANT,TERM_62,None,Logical connection
P473,P464,UNLOCKS_CONTEXT,TERM_84,None,Logical connection
P488,P508,FALSE_EXIT_VARIANT,TERM_52,None,Logical connection
P524,P510,FALSE_EXIT_VARIANT,TERM_33,None,Logical connection
P441,P558,CONTRADICTS,TERM_80,None,Logical connection
P552,P453,UNLOCKS_CONTEXT,TERM_58,None,Logical connection
P478,P504,PUBLIC_SITE_REUSES,TERM_70,None,Logical connection
P471,P541,SCANNER_TO_CODEX,TERM_77,None,Logical connection
P474,P552,UNLOCKS_CONTEXT,TERM_67,None,Logical connection
P516,P486,SCANNER_TO_CODEX,TERM_59,None,Logical connection
P536,P464,LOCALIZATION_RISK_SHARED,TERM_67,None,Logical connection
P537,P556,FALSE_EXIT_VARIANT,TERM_31,None,Logical connection
P509,P471,SCANNER_TO_CODEX,TERM_31,None,Logical connection
P484,P479,LOCALIZATION_RISK_SHARED,TERM_26,None,Logical connection
P531,P460,FALSE_EXIT_VARIANT,TERM_98,None,Logical connection
P534,P511,TERMINOLOGY_SHARED,TERM_59,None,Logical connection
P482,P522,LOCALIZATION_RISK_SHARED,TERM_46,None,Logical connection
P513,P495,PUBLIC_SITE_REUSES,TERM_74,None,Logical connection
P517,P487,CONTRADICTS,TERM_80,None,Logical connection
P474,P444,TERMINOLOGY_SHARED,TERM_22,None,Logical connection
P496,P475,CONTRADICTS,TERM_56,None,Logical connection
P504,P476,UNLOCKS_CONTEXT,TERM_13,None,Logical connection
P531,P537,SCANNER_TO_CODEX,TERM_78,None,Logical connection
P487,P475,TERMINOLOGY_SHARED,TERM_19,None,Logical connection
P507,P479,UNLOCKS_CONTEXT,TERM_50,None,Logical connection
P551,P469,CONTRADICTS,TERM_40,None,Logical connection
P440,P518,CONTRADICTS,TERM_97,None,Logical connection
P498,P528,PUBLIC_SITE_REUSES,TERM_81,None,Logical connection
P553,P495,PUBLIC_SITE_REUSES,TERM_94,None,Logical connection
P472,P511,LOCALIZATION_RISK_SHARED,TERM_35,None,Logical connection
P497,P474,CONTRADICTS,TERM_73,None,Logical connection
P479,P558,EVIDENCE_PRECEDES,TERM_43,None,Logical connection
P514,P508,PUBLIC_SITE_REUSES,TERM_7,None,Logical connection
P503,P448,LOCALIZATION_RISK_SHARED,TERM_75,None,Logical connection
P556,P481,FALSE_EXIT_VARIANT,TERM_54,None,Logical connection
P527,P501,EVIDENCE_PRECEDES,TERM_1,None,Logical connection
P528,P493,UNLOCKS_CONTEXT,TERM_93,None,Logical connection
P503,P537,TERMINOLOGY_SHARED,TERM_3,None,Logical connection
P448,P447,TERMINOLOGY_SHARED,TERM_1,None,Logical connection
P442,P453,PUBLIC_SITE_REUSES,TERM_43,None,Logical connection
P528,P457,LOCALIZATION_RISK_SHARED,TERM_2,None,Logical connection
P490,P537,UNLOCKS_CONTEXT,TERM_65,None,Logical connection
P457,P518,FALSE_EXIT_VARIANT,TERM_76,None,Logical connection
P501,P472,UNLOCKS_CONTEXT,TERM_76,None,Logical connection
P455,P553,CONTRADICTS,TERM_39,None,Logical connection
P452,P451,LOCALIZATION_RISK_SHARED,TERM_77,None,Logical connection
P541,P557,TERMINOLOGY_SHARED,TERM_43,None,Logical connection
P496,P476,SCANNER_TO_CODEX,TERM_1,None,Logical connection
P457,P482,SCANNER_TO_CODEX,TERM_28,None,Logical connection
P496,P459,PUBLIC_SITE_REUSES,TERM_6,None,Logical connection
P516,P525,FALSE_EXIT_VARIANT,TERM_2,None,Logical connection
P523,P490,CONTRADICTS,TERM_98,None,Logical connection
P491,P474,LOCALIZATION_RISK_SHARED,TERM_32,None,Logical connection
P500,P479,SCANNER_TO_CODEX,TERM_8,None,Logical connection
P468,P514,TERMINOLOGY_SHARED,TERM_27,None,Logical connection
P511,P449,LOCALIZATION_RISK_SHARED,TERM_23,None,Logical connection
P443,P516,SCANNER_TO_CODEX,TERM_38,None,Logical connection
P507,P542,CONTRADICTS,TERM_97,None,Logical connection
P505,P466,UNLOCKS_CONTEXT,TERM_69,None,Logical connection
P451,P485,CONTRADICTS,TERM_6,None,Logical connection
P558,P547,EVIDENCE_PRECEDES,TERM_4,None,Logical connection
P521,P493,FALSE_EXIT_VARIANT,TERM_10,None,Logical connection
P506,P444,CONTRADICTS,TERM_9,None,Logical connection
P544,P501,LOCALIZATION_RISK_SHARED,TERM_100,None,Logical connection
P444,P506,UNLOCKS_CONTEXT,TERM_9,None,Logical connection
P547,P440,PUBLIC_SITE_REUSES,TERM_27,None,Logical connection
P541,P502,FALSE_EXIT_VARIANT,TERM_55,None,Logical connection
P448,P469,PUBLIC_SITE_REUSES,TERM_94,None,Logical connection
P533,P492,CONTRADICTS,TERM_47,None,Logical connection
P504,P446,SCANNER_TO_CODEX,TERM_98,None,Logical connection
P557,P554,TERMINOLOGY_SHARED,TERM_93,None,Logical connection
P526,P557,UNLOCKS_CONTEXT,TERM_62,None,Logical connection
P516,P492,TERMINOLOGY_SHARED,TERM_28,None,Logical connection
P538,P525,FALSE_EXIT_VARIANT,TERM_8,None,Logical connection
P513,P471,TERMINOLOGY_SHARED,TERM_76,None,Logical connection
P478,P510,LOCALIZATION_RISK_SHARED,TERM_0,None,Logical connection
P442,P537,EVIDENCE_PRECEDES,TERM_66,None,Logical connection
P441,P544,SCANNER_TO_CODEX,TERM_3,None,Logical connection
P513,P454,PUBLIC_SITE_REUSES,TERM_88,None,Logical connection
P544,P527,SCANNER_TO_CODEX,TERM_75,None,Logical connection
P523,P441,PUBLIC_SITE_REUSES,TERM_50,None,Logical connection
P508,P493,TERMINOLOGY_SHARED,TERM_43,None,Logical connection
P557,P550,CONTRADICTS,TERM_64,None,Logical connection
P528,P542,FALSE_EXIT_VARIANT,TERM_21,None,Logical connection
P501,P443,CONTRADICTS,TERM_85,None,Logical connection
P496,P475,SCANNER_TO_CODEX,TERM_24,None,Logical connection
P448,P497,SCANNER_TO_CODEX,TERM_97,None,Logical connection
P468,P473,FALSE_EXIT_VARIANT,TERM_27,None,Logical connection
P489,P512,EVIDENCE_PRECEDES,TERM_41,None,Logical connection
P488,P506,SCANNER_TO_CODEX,TERM_86,None,Logical connection
P520,P542,CONTRADICTS,TERM_91,None,Logical connection
P506,P473,EVIDENCE_PRECEDES,TERM_22,None,Logical connection
P519,P488,FALSE_EXIT_VARIANT,TERM_56,None,Logical connection
P505,P510,UNLOCKS_CONTEXT,TERM_100,None,Logical connection
P499,P457,CONTRADICTS,TERM_82,None,Logical connection
P501,P552,UNLOCKS_CONTEXT,TERM_93,None,Logical connection
P522,P542,FALSE_EXIT_VARIANT,TERM_80,None,Logical connection
P493,P494,FALSE_EXIT_VARIANT,TERM_30,None,Logical connection
P522,P482,LOCALIZATION_RISK_SHARED,TERM_79,None,Logical connection
P474,P516,PUBLIC_SITE_REUSES,TERM_80,None,Logical connection
P559,P467,SCANNER_TO_CODEX,TERM_54,None,Logical connection
P495,P513,LOCALIZATION_RISK_SHARED,TERM_14,None,Logical connection
P528,P510,UNLOCKS_CONTEXT,TERM_28,None,Logical connection
P495,P450,CONTRADICTS,TERM_83,None,Logical connection
P506,P536,EVIDENCE_PRECEDES,TERM_44,None,Logical connection
P501,P538,LOCALIZATION_RISK_SHARED,TERM_96,None,Logical connection
P497,P559,SCANNER_TO_CODEX,TERM_52,None,Logical connection
P509,P463,EVIDENCE_PRECEDES,TERM_9,None,Logical connection
P510,P474,TERMINOLOGY_SHARED,TERM_66,None,Logical connection
P504,P460,UNLOCKS_CONTEXT,TERM_47,None,Logical connection
P452,P510,SCANNER_TO_CODEX,TERM_56,None,Logical connection
P484,P552,SCANNER_TO_CODEX,TERM_60,None,Logical connection
P535,P547,UNLOCKS_CONTEXT,TERM_45,None,Logical connection
P459,P539,SCANNER_TO_CODEX,TERM_30,None,Logical connection
P470,P523,TERMINOLOGY_SHARED,TERM_1,None,Logical connection
P485,P521,CONTRADICTS,TERM_27,None,Logical connection
P559,P559,FALSE_EXIT_VARIANT,TERM_37,None,Logical connection
P503,P449,EVIDENCE_PRECEDES,TERM_79,None,Logical connection
P460,P480,LOCALIZATION_RISK_SHARED,TERM_17,None,Logical connection
P455,P499,FALSE_EXIT_VARIANT,TERM_75,None,Logical connection
P540,P478,PUBLIC_SITE_REUSES,TERM_14,None,Logical connection
P450,P477,LOCALIZATION_RISK_SHARED,TERM_36,None,Logical connection
P508,P452,CONTRADICTS,TERM_47,None,Logical connection
P471,P515,EVIDENCE_PRECEDES,TERM_23,None,Logical connection
P515,P474,SCANNER_TO_CODEX,TERM_100,None,Logical connection
P498,P537,EVIDENCE_PRECEDES,TERM_87,None,Logical connection
P548,P498,EVIDENCE_PRECEDES,TERM_74,None,Logical connection
