id,domain,file,symbol_or_asset,current_behavior,why_it_reads_bad_in_game,player_distance_band,pressure_depth_band,fix_type,proposed_fix,acceptance_gate,confidence
213,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_egg_cluster__clutch,Leaning kelp does not align with the predominant current (instance 3),Clutch ignores gravity,0-8m,reef,Integration,Orient the lean vector to the local flow field,Kelp leans with current,High
214,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_egg_cluster__nest,Stalk lacks a defined holdfast at the base (instance 3),Nest is unanchored,0-8m,reef,Geometry,Generate root-like holdfast geometry at the bottom,Holdfast anchors the stalk,High
215,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_field,Giant plant stem is too thin to support its canopy (instance 3),Debris center is too thin,10-20m,reef,Geometry,Increase base radius and taper up to the canopy,Stem radius is appropriate,High
216,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_field__field,Canopy leaves are generated without supporting ribs (instance 3),Debris lacks support beams,0-8m,reef,Geometry,Extrude structural ribs along the center of the leaves,Leaves contain ribs,High
217,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_field__strip,Tower structure uses a low-res texture map (instance 3),Strip uses blurry map,0-8m,abyss,Material,Increase texture resolution to 1024 px per meter,Texture passes density check,High
218,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_scatter,Passive spawn ring lacks terrain conformity (instance 3),Scatter floats above terrain,0-8m,abyss,Integration,Project vertices downward to match the terrain height,Ring conforms to terrain,High
219,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_scatter__crate,Ring geometry is a perfect torus (instance 3),Crate handles are perfect toruses,0-8m,abyss,Geometry,Deform the torus with low-frequency noise,Ring is deformed,High
220,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_scatter__scrap,Stalk is not properly welded to the ring (instance 3),Scrap pieces are visibly disjointed,0-8m,abyss,Topology,Weld stalk vertices to the ring vertices,Seam is eliminated,High
221,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_cluster_medium,Predator spawn marker is overly bright (instance 3),Ruin lights are blown out,0-8m,abyss,Material,Reduce emissive intensity on the marker,Emission is subtle,High
222,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_cluster_medium__cluster,Nest uses uniform vertex color for occlusion (instance 3),Cluster uses uniform AO,0-8m,reef,VertexColor,Calculate occlusion based on local cavity depth,Blue channel varies correctly,High
223,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_cluster_medium__corridor,Tooth geometry lacks a sharp point (instance 3),Corridor spikes are blunt,0-8m,ruins,Geometry,Ensure the tip vertex is singular and sharp,Tip is a single sharp vertex,High
224,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_megastructure,Apex zone marker is visible in normal gameplay (instance 3),Megastructure marker is visible,0-8m,cave,Material,Assign an editor-only or invisible material,Marker is hidden in-game,High
225,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_megastructure__frame,Threat zone marker has collision enabled (instance 3),Frame marker blocks player,0-8m,cave,Collision,Disable all colliders on the marker prefab,No physical collision occurs,High
