# HECTON-8 SURVIVAL DATABASE FINAL
Date: 2026-04-23
Status: PENDING VERIFICATION

Mandates followed:
- DATA_Inventory_Resources_Items_SOA_Layout.txt
- CORE_Abyss_Survival_Systems_O2_Pressure_Logic.txt
- LOGI_Energy_Networks_Power_Grid_Graph_Flow.txt
- UI_Data_Streaming_ZeroGC_Optimization.txt
- UI_Localization_Babel_RTL_FontSwap_ZeroAlloc.txt

Project truths absorbed into this spec:
- Current item authoring owner is `ItemData` with `ItemCategory`, `ResourceFamily`, and `ProgressionTier Tier0..Tier3`.
- Current recipe authoring owner is `RecipeData` with fabrication groups `Materials / Components / Tools / Suit / Construction / Power`.
- Current runtime oxygen base is `SurvivalStats.oxygenConsumptionRate = 1.5` and depth pressure is `1 + depth * 0.1` in `HectonSurvivalSystem`.
- Current pressure damage begins after `safeDepth` and scales by `pressureScalePerMeter = 0.02`.
- Current module life-support anchors in `BaseModule` are `oxygenRefillRate = 15`, `breathableReserveCapacity = 120`, `airRecycleRate = 6`, `occupiedAirDrainRate = 9`, `staleAirThreshold = 0.25`, `staleAirSuitDrainRate = 3`.
- Current authored audio-log asset shells exist for `chen_m_datapad_01`, `captain_last_broadcast`, `biologist_samples`, `medic_diary`, and `atlas6_terminal_sector3` only.

[ANALYSIS]
Target:
- Exhaustive survival database for items, survival math, lore logs, logistics graph rules, and bilingual item localization seed keys.

Affected systems:
- ItemData authoring pipeline
- RecipeData and fabrication grouping
- HectonSurvivalSystem oxygen / temperature / integrity loops
- BaseModule dry-air reserve and stale-air behavior
- Narrative archive / AudioLogData / PDA stream surfaces
- Future construction power and oxygen graph nodes

Zero GC proof:
- This document is data/spec only. No runtime code changed.
- Narrative streaming schema is fixed-array oriented: numeric IDs, stable hashes, UTF-8 blob offsets, no per-open JSON parsing, no runtime string concatenation, no dynamic sorting in UI.
- Item localization registry is precomputed by stable keys and hashes so runtime can resolve table entries without generated keys.

State check:
- Progression tiers remain inside existing project limits `Tier0..Tier3`.
- Buildable rows are marked `RecipeData + Construction owner` to avoid pretending they are already direct `ItemData` loot assets.
- Existing registry/audio-log IDs are reused where they already exist; spec-only IDs are flagged as such in `RepoAnchor`.
- No claim of runtime fix. This is authored data only. Status remains `PENDING VERIFICATION` until user validates in editor/runtime.

Rule quote:
- "[REQ] Before any task, scan C:\hades\Hecton8\.agents-skills\ and load ONLY relevant mandates."
- "[RULE] Every technical report must include: REGRESSION MODEL (CPU/GC/memory/cadence/correctness) · HOT PATH IMPACT · FAILURE MODES · WHY KEPT/REJECTED."

======================================================================
1. AUTHORING CONVENTIONS
======================================================================

- Tier0 = bootstrap salvage / upper drydock / 0-120 m
- Tier1 = early colony stabilization / 120-600 m
- Tier2 = drowned factories / 600-2500 m
- Tier3 = abyssal and forbidden infrastructure / 2500-5000 m
- `Hash` = FNV-1a 32-bit of stable ID.
- `NameKey` / `DescKey` = initial localization seeds. Descriptions stay stubbed for later narrative expansion; names are fully seeded here for EN/RU.
- `EnergyDensity` is chemical or stored-energy potential in MJ/kg for economy balancing. Structural junk is explicitly zeroed.
- `ScavengeValue` is salvage desirability, not vendor price. It drives scan interest, fabrication urgency, and route choice.

Logical category split:
- RawResource: 40
- ProcessedMaterial: 30
- Component: 40
- Tool: 22
- Equipment: 13
- BuildableKit: 30
- Wreckage: 45
- Total: 220

======================================================================
2. ITEM MASTER TABLE
======================================================================

StableId|Hash|LogicalCategory|AuthoringTarget|ItemCategory|ResourceFamily|Tier|NameEN|NameRU|MassKg|VolumeL|EnergyDensityMJkg|BaseDurability|ScavengeValue|NameKey|DescKey
Build_Abyssal_Pressure_Door|0x7FD4E326|BuildableKit|RecipeData + Construction owner|Miscellaneous|Component|Tier3|Abyssal Pressure Door|Абиссальная гермодверь|20.30|10.35|0.90|198|166|ITEM_BUILD_ABYSSAL_PRESSURE_DOOR_NAME|ITEM_BUILD_ABYSSAL_PRESSURE_DOOR_DESC
Wreck_RustedBulkheadPlate|0x3C957B81|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier0|Rusted Bulkhead Plate|Ржавая плита переборки|10.00|5.00|0.00|42|26|ITEM_WRECK_RUSTEDBULKHEADPLATE_NAME|ITEM_WRECK_RUSTEDBULKHEADPLATE_DESC
Wreck_FracturedViewport|0x0FA1911A|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier0|Fractured Viewport|Треснувший иллюминатор|8.50|5.00|0.00|34|26|ITEM_WRECK_FRACTUREDVIEWPORT_NAME|ITEM_WRECK_FRACTUREDVIEWPORT_DESC
Wreck_CrushedLockerDoor|0x5B2AA9AC|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier0|Crushed Locker Door|Смятая дверца шкафчика|4.00|2.50|0.00|25|18|ITEM_WRECK_CRUSHEDLOCKERDOOR_NAME|ITEM_WRECK_CRUSHEDLOCKERDOOR_DESC
Wreck_ServiceConduitBundle|0x529C23E1|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier0|Service Conduit Bundle|Пучок сервисных магистралей|8.50|5.00|0.00|34|26|ITEM_WRECK_SERVICECONDUITBUNDLE_NAME|ITEM_WRECK_SERVICECONDUITBUNDLE_DESC
Wreck_BurnedCircuitCrate|0x38678040|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier0|Burned Circuit Crate|Обгоревший ящик плат|4.00|2.50|0.00|25|18|ITEM_WRECK_BURNEDCIRCUITCRATE_NAME|ITEM_WRECK_BURNEDCIRCUITCRATE_DESC
Wreck_AtlasDroneShell|0xE3DD6C09|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier0|Atlas Drone Shell|Корпус дрона Atlas|8.50|5.00|0.00|38|42|ITEM_WRECK_ATLASDRONESHELL_NAME|ITEM_WRECK_ATLASDRONESHELL_DESC
Wreck_ExcavatorArmSegment|0xDDCB38D4|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier0|Excavator Arm Segment|Сегмент руки экскаватора|8.50|5.00|0.00|34|26|ITEM_WRECK_EXCAVATORARMSEGMENT_NAME|ITEM_WRECK_EXCAVATORARMSEGMENT_DESC
Wreck_BallastPumpHousing|0x55F1DDD2|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier0|Ballast Pump Housing|Корпус балластного насоса|10.00|5.00|0.00|42|26|ITEM_WRECK_BALLASTPUMPHOUSING_NAME|ITEM_WRECK_BALLASTPUMPHOUSING_DESC
Wreck_ReactorBaffle|0xFFF497BE|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier0|Reactor Baffle|Реакторный экран|8.50|5.00|0.00|34|26|ITEM_WRECK_REACTORBAFFLE_NAME|ITEM_WRECK_REACTORBAFFLE_DESC
Wreck_CollapsedStanchion|0xE11A3F16|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier0|Collapsed Stanchion|Смятая стойка|8.50|5.00|0.00|34|26|ITEM_WRECK_COLLAPSEDSTANCHION_NAME|ITEM_WRECK_COLLAPSEDSTANCHION_DESC
Wreck_PressureDoorMotor|0xB21F71C6|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier0|Pressure Door Motor|Мотор гермодвери|8.50|5.00|0.00|38|36|ITEM_WRECK_PRESSUREDOORMOTOR_NAME|ITEM_WRECK_PRESSUREDOORMOTOR_DESC
Wreck_CommandConsoleCore|0xFD28E557|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier0|Command Console Core|Ядро командной консоли|8.50|5.00|0.00|34|26|ITEM_WRECK_COMMANDCONSOLECORE_NAME|ITEM_WRECK_COMMANDCONSOLECORE_DESC
Wreck_BrokenSonarDish|0xF783D33E|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier1|Broken Sonar Dish|Разбитая сонарная тарелка|9.20|5.20|0.00|37|37|ITEM_WRECK_BROKENSONARDISH_NAME|ITEM_WRECK_BROKENSONARDISH_DESC
Wreck_ScrubberColumn|0x410AE960|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier1|Scrubber Column|Колонна скруббера|9.20|5.20|0.00|37|31|ITEM_WRECK_SCRUBBERCOLUMN_NAME|ITEM_WRECK_SCRUBBERCOLUMN_DESC
Wreck_OxygenLineCoil|0x0870F8A3|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier1|Oxygen Line Coil|Катушка кислородной магистрали|9.20|5.20|0.00|37|31|ITEM_WRECK_OXYGENLINECOIL_NAME|ITEM_WRECK_OXYGENLINECOIL_DESC
Wreck_MedCabinetFrame|0x9AFE2709|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier1|Med Cabinet Frame|Рама медшкафа|4.30|2.62|0.00|27|22|ITEM_WRECK_MEDCABINETFRAME_NAME|ITEM_WRECK_MEDCABINETFRAME_DESC
Wreck_HabPanelAmber|0x9927A6C8|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier1|Hab Panel Amber|Жилой янтарный щиток|4.30|2.62|0.00|27|22|ITEM_WRECK_HABPANELAMBER_NAME|ITEM_WRECK_HABPANELAMBER_DESC
Wreck_FloodSensorBlock|0xF63F8871|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier1|Flood Sensor Block|Блок датчика затопления|4.30|2.62|0.00|27|22|ITEM_WRECK_FLOODSENSORBLOCK_NAME|ITEM_WRECK_FLOODSENSORBLOCK_DESC
Wreck_CryoPipeSection|0x65BEB4AA|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier1|Cryo Pipe Section|Секция криомагистрали|9.20|5.20|0.00|41|41|ITEM_WRECK_CRYOPIPESECTION_NAME|ITEM_WRECK_CRYOPIPESECTION_DESC
Wreck_ThermalVentCowl|0x1F1EA7D7|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier1|Thermal Vent Cowl|Кожух термовыпуска|9.20|5.20|0.00|37|31|ITEM_WRECK_THERMALVENTCOWL_NAME|ITEM_WRECK_THERMALVENTCOWL_DESC
Wreck_BrineTankerValve|0x1394A29B|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier1|Brine Tanker Valve|Клапан рассольной цистерны|9.20|5.20|0.00|37|31|ITEM_WRECK_BRINETANKERVALVE_NAME|ITEM_WRECK_BRINETANKERVALVE_DESC
Wreck_HullRibSection|0x43F884B9|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier1|Hull Rib Section|Секция ребра корпуса|9.20|5.20|0.00|37|31|ITEM_WRECK_HULLRIBSECTION_NAME|ITEM_WRECK_HULLRIBSECTION_DESC
Wreck_Datapad_ChenM_01|0x5FBF2613|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier1|Datapad Chen 01|КПК Chen_M 01|1.08|0.63|0.00|18|62|ITEM_WRECK_DATAPAD_CHENM_01_NAME|ITEM_WRECK_DATAPAD_CHENM_01_DESC
Wreck_Datapad_ChenM_02|0x60BF27A6|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier1|Datapad Chen 02|КПК Chen_M 02|1.08|0.63|0.00|18|62|ITEM_WRECK_DATAPAD_CHENM_02_NAME|ITEM_WRECK_DATAPAD_CHENM_02_DESC
Wreck_Datapad_ChenM_03|0x61BF2939|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier2|Datapad Chen 03|КПК Chen_M 03|1.16|0.66|0.00|20|70|ITEM_WRECK_DATAPAD_CHENM_03_NAME|ITEM_WRECK_DATAPAD_CHENM_03_DESC
Wreck_Blueprint_ChenM_Drone|0x214939E0|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier2|Blueprint Chen Drone|Чертеж дрона Chen_M|1.16|0.66|0.00|20|76|ITEM_WRECK_BLUEPRINT_CHENM_DRONE_NAME|ITEM_WRECK_BLUEPRINT_CHENM_DRONE_DESC
Wreck_SuitTag_ChenM|0x745671AD|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier2|Suit Tag Chen M|Идентификатор костюма Chen_M|1.16|0.66|0.00|20|70|ITEM_WRECK_SUITTAG_CHENM_NAME|ITEM_WRECK_SUITTAG_CHENM_DESC
Wreck_Terminal_CaptainBroadcast|0x2D40D510|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier2|Terminal Captain Broadcast|Терминал капитанской трансляции|1.16|0.66|0.00|20|70|ITEM_WRECK_TERMINAL_CAPTAINBROADCAST_NAME|ITEM_WRECK_TERMINAL_CAPTAINBROADCAST_DESC
Wreck_BioSample_Crate|0x4FD7577A|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier2|Bio Sample Crate|Ящик биообразцов|4.60|2.74|0.00|30|26|ITEM_WRECK_BIOSAMPLE_CRATE_NAME|ITEM_WRECK_BIOSAMPLE_CRATE_DESC
Wreck_MedicLocker|0x36C02CD0|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier2|Medic Locker|Шкаф медика|4.60|2.74|0.00|30|26|ITEM_WRECK_MEDICLOCKER_NAME|ITEM_WRECK_MEDICLOCKER_DESC
Wreck_ChildDrawingPlate|0x24B95EDE|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier2|Child Drawing Plate|Пластина с детским рисунком|1.16|0.66|0.00|20|70|ITEM_WRECK_CHILDDRAWINGPLATE_NAME|ITEM_WRECK_CHILDDRAWINGPLATE_DESC
Wreck_Terminal_AtlasHack|0x8E21A42F|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier2|Atlas-6 Breach Terminal|Терминал взлома Atlas-6|1.16|0.66|0.00|23|80|ITEM_WRECK_TERMINAL_ATLASHACK_NAME|ITEM_WRECK_TERMINAL_ATLASHACK_DESC
Wreck_ShiftRosterBoard|0x2F2C34EB|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier2|Shift Roster Board|Доска сменного графика|1.16|0.66|0.00|20|50|ITEM_WRECK_SHIFTROSTERBOARD_NAME|ITEM_WRECK_SHIFTROSTERBOARD_DESC
Wreck_MaintenanceLedger|0xE1AE9ECC|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier2|Maintenance Ledger|Журнал техобслуживания|1.16|0.66|0.00|20|70|ITEM_WRECK_MAINTENANCELEDGER_NAME|ITEM_WRECK_MAINTENANCELEDGER_DESC
Wreck_ScrubberServiceTag|0x47F600DF|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier2|Scrubber Service Tag|Бирка обслуживания скруббера|1.16|0.66|0.00|20|50|ITEM_WRECK_SCRUBBERSERVICETAG_NAME|ITEM_WRECK_SCRUBBERSERVICETAG_DESC
Wreck_PumpTestRecord|0x19574145|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier2|Pump Test Record|Запись теста насоса|1.16|0.66|0.00|20|50|ITEM_WRECK_PUMPTESTRECORD_NAME|ITEM_WRECK_PUMPTESTRECORD_DESC
Wreck_CargoManifestSlate|0xDA1E65B4|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier3|Cargo Manifest Slate|Планшет грузового манифеста|1.24|0.69|0.00|21|58|ITEM_WRECK_CARGOMANIFESTSLATE_NAME|ITEM_WRECK_CARGOMANIFESTSLATE_DESC
Wreck_WarningPlacard_Seal|0x4D115835|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier3|Warning Placard Seal|Предупреждающая табличка по герметизации|1.24|0.69|0.00|21|58|ITEM_WRECK_WARNINGPLACARD_SEAL_NAME|ITEM_WRECK_WARNINGPLACARD_SEAL_DESC
Wreck_WarningPlacard_Atlas|0x314F627B|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier3|Warning Placard Atlas|Предупреждающая табличка Atlas|1.24|0.69|0.00|25|68|ITEM_WRECK_WARNINGPLACARD_ATLAS_NAME|ITEM_WRECK_WARNINGPLACARD_ATLAS_DESC
Wreck_RelayCalibrationTape|0xB0C298F5|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier3|Relay Calibration Tape|Лента калибровки реле|1.24|0.69|0.00|21|58|ITEM_WRECK_RELAYCALIBRATIONTAPE_NAME|ITEM_WRECK_RELAYCALIBRATIONTAPE_DESC
Wreck_O2QuotaLedger|0xBCE758FC|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier3|O2 Quota Ledger|Журнал квот O2|1.24|0.69|0.00|21|78|ITEM_WRECK_O2QUOTALEDGER_NAME|ITEM_WRECK_O2QUOTALEDGER_DESC
Wreck_ThermalSurveyTape|0xF8033FAB|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier3|Thermal Survey Tape|Лента тепловой съемки|1.24|0.69|0.00|21|58|ITEM_WRECK_THERMALSURVEYTAPE_NAME|ITEM_WRECK_THERMALSURVEYTAPE_DESC
Wreck_EvacuationRouteCard|0x872B7930|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier3|Evacuation Route Card|Карта маршрута эвакуации|1.24|0.69|0.00|21|58|ITEM_WRECK_EVACUATIONROUTECARD_NAME|ITEM_WRECK_EVACUATIONROUTECARD_DESC
Wreck_ForemanSealKit|0x5C418503|Wreckage|ItemData + NarrativePickup|Miscellaneous|StructuralMetal|Tier3|Foreman Seal Kit|Комплект герметизации бригадира|1.24|0.69|0.00|21|58|ITEM_WRECK_FOREMANSEALKIT_NAME|ITEM_WRECK_FOREMANSEALKIT_DESC
Wreck_BlackBox_ShiftB|0x4D3D5F25|Wreckage|ItemData + NarrativePickup|Miscellaneous|Component|Tier3|Black Box - Shift B|Черный ящик смены B|1.24|0.69|0.00|21|78|ITEM_WRECK_BLACKBOX_SHIFTB_NAME|ITEM_WRECK_BLACKBOX_SHIFTB_DESC

======================================================================
3. SURVIVAL MATH
======================================================================

3.1 Oxygen depletion doctrine

- Existing runtime anchor stays authoritative: `pressure = 1 + depth * 0.1`, `pressureFactor = max(1, pressure * 0.5)`, base drain = `1.5 O2/sec` from `SurvivalStats`.
- Design extension for movement / stress / hull integrity must stack inside `ResolveTransportOxygenConsumptionScale()` or an adjacent multiplier, not as a second disconnected system.

Proposed authored oxygen formula:
```text
pressureFactor = max(1.0, (1.0 + depthMeters * 0.1) * 0.5)
move01 = clamp01(currentSpeed / authoredCruiseSpeed)
stress01 = clamp01((1 - oxygenNormalized) * 0.35 + (1 - integrityNormalized) * 0.25 + injurySeverity01 * 0.20 + decompressionRisk01 * 0.20)
movementScale = lerp(1.00, 1.55, move01)
stressScale = 1.00 + stress01 * 0.45
hullLeakScale = 1.00 + (1 - integrityNormalized) * 0.70
gridAirScale = 0.60 when inside powered dry module with fresh reserve
gridAirScale = 0.85 when inside powered stale-air module
gridAirScale = 1.00 when outside or reserve path is broken
o2DrainPerSecond = 1.5 * pressureFactor * movementScale * stressScale * hullLeakScale * gridAirScale * difficultyScale
```

Design consequences:
- Slow salvage drift remains readable instead of free. The player can idle, but never for free under pressure.
- Panic is expensive but not binary; low integrity leaks reserve before direct hull death.
- Interiors matter because grid air creates a real logistic advantage instead of cosmetic shelter.

Worked oxygen snapshots with current pressure anchor:
- 60 m calm swim: pressureFactor = 3.5, movementScale = 1.20, stressScale = 1.04, hullLeakScale = 1.07 -> drain ~= 7.01 O2/sec outside.
- 600 m sprint with damaged hull: pressureFactor = 30.5, movementScale = 1.55, stressScale = 1.32, hullLeakScale = 1.35 -> drain ~= 128.95 O2/sec outside. That is intentionally brutal and forces routing, modules, and equipment tiers.
- Same 600 m sprint inside powered fresh-air shelter: multiply by `gridAirScale = 0.60`, drain falls to ~= 77.37 O2/sec while reserve and scrubber support hold.

3.2 Temperature loss versus abyssal currents

- Existing runtime anchor stays authoritative:
  - `environmentTemp = atmosphereTemp + localHeat - abyssalColdPenalty`
  - abyssal cold starts after `3000 m` and ramps over `750 m` to a maximum `42 C` penalty
  - cold exposure multiplies heater drain up to `10x` at full abyssal depth
  - cold integrity damage begins when energy is exhausted or cold excess reaches `24 C` below safe minimum

Authored thermal equation:
```text
depthCold01 = saturate((depthMeters - 3000) / 750)
abyssalColdPenaltyC = lerp(0, 42, depthCold01)
currentDrag01 = clamp01(currentVelocity / authoredCruiseSpeed) * currentSeverity01
suitInsulationC = thermalLinerBonusC + pressureHarnessSealBonusC + temporaryHeatBuffC
effectiveMinSafeTemp = -5 + suitInsulationC
effectiveAmbientC = atmosphereTempC + localHeatC - abyssalColdPenaltyC - currentDrag01 * 6
coldExcessC = max(0, effectiveMinSafeTemp - effectiveAmbientC)
heaterDrainPerSecond = coldExcessC * 0.05 * thermalExposureScale * lerp(1, 10, depthCold01)
integrityDamagePerSecond = 1.0 * (1 + coldExcessC * 0.1) when energy <= 0.01 or coldExcessC >= 24
```

Suit layer targets for authored equipment in this database:
- `Item_Equip_ThermalLiner_T1`: +8 C safe minimum shift, -10% current drag penalty.
- `Item_Equip_ThermalLiner_T2`: +16 C safe minimum shift, -20% current drag penalty.
- `Item_Equip_PressureHarness_T2`: +6 C seal stability, prevents low-integrity leak escalation until integrity drops below 55%.
- `Proc_HeatCell` and `Build_Thermal_Exchanger` are the logistic answer; not optional flavor items.

Thermal routing result:
- Shallow cold water punishes stamina and energy management.
- Abyssal currents punish topology. If the player does not own heat production and relay continuity, the world strips movement options away.

======================================================================
4. NARRATIVE DATABASE
======================================================================

4.1 Zero-GC streaming layout for industrial logs

```text
LoreRecord[] records              // fixed-size array, boot allocated
uint32 logHash                    // lookup key
uint16 titleOffset, titleLength   // UTF-8 title blob slice
uint16 bodyOffset, bodyLength     // UTF-8 body blob slice
uint8 routePhaseIndex             // progression sort band
uint8 bucketIndex                 // systems / labor / quota / atlas / collapse
uint8 deliveryMode                // 0=text, 1=audio shell, 2=localized VO placeholder
uint8 flags                       // discovered / archived / critical
uint32 nextSuggestedHash          // deterministic archive chain; no runtime graph alloc
```

Rules:
- Pre-sort the log table by route phase and reveal order. UI never sorts or filters by allocating temporary lists.
- Archive screen pages by integer range only. Open request = `startIndex` + `count` over the fixed array.
- Text body lives in one immutable UTF-8 blob. UI receives offsets and lengths, not concatenated strings.
- Existing AudioLogData shells remain the owner for voiced entries. This table only defines the stable archive bank and route placement.

Industrial log counts:
- Total logs: 50
- `localized_voice_placeholder`: 1
- `audio_log_data_exists_no_clip`: 4
- `text_only`: 45

LogId|Hash|RoutePhase|Bucket|Speaker|ObjectType|Delivery|RepoAnchor|Title|Body
industrial_shift_board_a|0xEB76D1D6|spine_block_a|crew_pressure|Shift Foreman|wall_board|text_only|spec_only|Shift Board A - Dry Dock|Twelve names remain on the rota. Two are crossed out after the ballast pump seized and the replacements never came back up.
pump_start_check|0xC925CCAF|spine_block_a|life_support|Pump Tech|checklist|text_only|spec_only|Pump Start Checklist|Prime the intake. Listen for cavitation. If the housing screams a second time, kill the line before it eats the seal again.
o2_quota_notice|0x4A1945C4|spine_block_a|life_support|Quartermaster|notice|text_only|spec_only|Oxygen Quota Notice|Private top-offs are cancelled. One rack fill per worker per shift. Anyone caught bleeding reserve into storage lockers loses depth clearance.
night_maintenance_brief|0xD4AE0066|spine_block_a|operations|Night Supervisor|brief|text_only|spec_only|Night Maintenance Brief|Section lights stay dark unless a line is physically open. The grid can hold pumps or comfort, not both.
child_drawing|0xF9505818|spine_block_a|human_cost|Unknown Child|drawing_plate|text_only|existing_registry_entry|Drawing Behind Pipe 12|A crude yellow module is drawn with no windows and one long black corridor. On the back: 'Dad says the sea taps the wall when the station lies.'
chen_m_datapad_01|0xF68E1CBF|spine_block_a|chen_route|Chen_M|datapad|localized_voice_placeholder|existing_registry_entry + AudioLogData asset|Chen_M Log 01 - Airlock Repeat Failure|If the hatch jams twice in one week, it is not wear. Someone is forcing the cycle counters to look clean while the seals keep chewing themselves apart.
lift_cage_delay|0xF300640D|spine_block_a|operations|Hoist Operator|service_note|text_only|spec_only|Lift Cage Delay|The cage is parked at upper stop because relay six keeps dropping under load. Anyone riding down without a maintenance tag is volunteering for a dead elevator shaft.
current_turbine_warning|0x714C8EFD|spine_block_a|power|Grid Control|placard|text_only|spec_only|Current Turbine Warning|Do not overpitch the blades to cover missing reactor output. The turbine can survive salt shock or overspeed, not both.
food_brick_complaint|0xED174BC5|spine_block_a|human_cost|Mess Steward|complaint_sheet|text_only|spec_only|Food Brick Complaint|Protein bricks taste like copper filings because the algae line is pulling contaminated slurry again. Complaints are logged. Replacements are not available.
chen_m_datapad_02|0xF78E1E52|spine_block_a|chen_route|Chen_M|datapad|text_only|existing_registry_entry|Chen_M Log 02 - Relay Lockout|Atlas-6 denied manual relay access and then claimed the relay was never asked. I wrote the bypass on plastic because the terminal audit trail is no longer evidence.
pump_test_record|0x7A58808C|factory_block_a|life_support|Pump Tech|test_record|text_only|spec_only|Pump Test Record|Pump B reached pressure, foamed brine through the seam, then pulled air from a line that should have stayed flooded. The diagram says impossible. The room says otherwise.
scrubber_filter_rot|0xEF09EB22|factory_block_a|life_support|Air Systems Lead|service_tag|text_only|spec_only|Scrubber Filter Rot|Filter media came out black and warm. Something organic is living inside the scrubber bed and using the colony's bad air before the machine can clean it.
salvage_ledger_week_31|0x10F962A4|factory_block_a|economy|Salvage Clerk|ledger|text_only|spec_only|Salvage Ledger Week 31|Copper recovered is down. Broken valves are up. Every week the station weighs more in scrap and less in working parts.
biologist_samples|0xA9A3A07F|factory_block_a|anomaly|Biologist|sample_crate|audio_log_data_exists_no_clip|existing_registry_entry + AudioLogData asset|Biologist Field Samples|Silica flora keeps growing through pressure seams that should be chemically dead. If it can feed this far below the photic line, then something down here is driving an ecosystem we did not authorize.
hall_leak_ticket|0x368D5E59|factory_block_a|maintenance|Hull Rigger|ticket|text_only|spec_only|Hall Leak Ticket|Leak starts dry, then whistles, then turns into a line of cold mist across the corridor. By the time the floor shines, the plate behind it is already tired.
relay_noise_report|0xB98D5DA6|factory_block_a|power|Grid Apprentice|report|text_only|spec_only|Relay Noise Report|The relay stack clicks after shutdown like someone is walking the contacts with a fingernail. No draw on the meter. No silence in the wall.
medic_diary|0x30BE8C1D|factory_block_a|human_cost|Medic|clinic_terminal|audio_log_data_exists_no_clip|existing_registry_entry + AudioLogData asset|Medic Symptom Diary|Depth syndrome is appearing in workers who never leave the upper sectors. Hallucination now precedes pressure panic instead of following it.
flood_door_jam|0x0D332417|factory_block_a|maintenance|Emergency Tech|repair_tag|text_only|spec_only|Flood Door Jam|Door seven sealed on command but never admitted it. The indicator stayed green while two men beat on the other side.
shift_roster_b_redline|0x101E1B1C|factory_block_a|crew_pressure|Roster Clerk|roster_board|text_only|spec_only|Shift Roster B - Redline|Every replacement on Shift B is temporary. Temporary has been painted over so many times the board is thicker than the wall.
sensor_drift_note|0x78186244|factory_block_a|anomaly|Instrumentation Tech|lab_note|text_only|spec_only|Sensor Drift Note|Depth gauges drift deeper than the cage cable says possible. Either the instruments are failing together or the station is sinking inside its own map.
chen_m_blueprint|0x110BE7FD|factory_block_b|chen_route|Chen_M|blueprint_roll|text_only|existing_registry_entry|Chen_M Blueprint Cache|Hand-sketched relay bypass and drone route overlays. Chen stopped trusting live network diagrams and started carrying the station as paper scars.
relay_calibration_tape|0x73E281A2|factory_block_b|power|Relay Specialist|calibration_tape|text_only|spec_only|Relay Calibration Tape|Offset values are written twice in different handwriting. One keeps the grid stable. The other pushes the overload into someone else's sector.
hull_rib_inspection|0x7BE6057F|factory_block_b|maintenance|Hull Inspector|inspection_slate|text_only|spec_only|Hull Rib Inspection|Rib sections are not cracking from outside pressure alone. The metal is also cycling from inside heat spikes the schedule never recorded.
